ticket_id,subject,body,category,urgency,source,processed_text,word_count,char_count,too_short
SYN-00147,,My invoice shows $149 but my plan is $79 per month. Please fix this and refund the difference.,billing,normal,synthetic,nan invoice show plan per month please fix refund difference,10,98,False
SYN-00279,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 7 times now.",bug_report,critical,synthetic,nan not get account password correct reset email never arrives tried time,12,105,False
SYN-00076,,My card ending in 4242 expired. How do I update payment before the next cycle?,billing,normal,synthetic,nan card ending expired update payment next cycle,8,82,False
SYN-00825,,Quick question about user permissions — could not find a clear answer in the docs. Can someone point me in the right direction?,general,normal,synthetic,nan quick question user permission could not find clear answer doc someone point right direction,15,131,False
SYN-00014,,I downgraded my plan starting yesterday but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic,nan downgraded plan starting yesterday still charged pro rate need corrected backdated,12,128,False
SYN-00555,,How do I add a new team member with read-only access? We are on the Team plan and cannot figure out the settings.,account_access,normal,synthetic,nan add new team member read access team plan not figure setting,12,117,False
SYN-00734,,The analytics page takes 30 seconds to load randomly throughout the day. It was instant before. Our whole team is affected.,performance,high,synthetic,nan analytics page take second load randomly throughout day instant whole team affected,13,127,False
SYN-00164,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic,nan api call service returning error since last update blocking entire production deployment error internal server error,17,165,False
SYN-00510,,Completely locked out. Have not been able to log in for 30 days. Reset emails are not coming through.,account_access,high,synthetic,nan completely locked not able log day reset email not coming,11,105,False
SYN-00349,,Please add bulk upload a file for invoices. Doing it one at a time for 500+ records is very frustrating.,feature_request,normal,synthetic,nan please add bulk upload file invoice one time record frustrating,11,108,False
SYN-00735,,The browser tab uses more and more memory over time and eventually crashes. Have to refresh every hour or so.,performance,high,synthetic,nan browser tab us memory time eventually crash refresh every hour,11,113,False
SYN-00892,,How do I bulk delete old records? The documentation is not very clear on this step.,general,normal,synthetic,nan bulk delete old record documentation not clear step,9,87,False
SYN-00699,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
SYN-00611,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
SYN-00127,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic,nan no idea charge not remember signing anything new explain,10,117,False
REAL-00002,,Cannot login to download my receipt,account_access,normal,manual_real,nan not login download receipt,5,39,False
SYN-00420,,"Does Jira integration exist? If not, any plans to add it? It would completely change our workflow.",feature_request,normal,synthetic,nan jira integration exist not plan add would completely change workflow,11,102,False
SYN-00078,,I downgraded my plan starting yesterday but I am still being charged the Enterprise rate. This needs to be corrected and backdated.,billing,normal,synthetic,nan downgraded plan starting yesterday still charged enterprise rate need corrected backdated,12,135,False
SYN-00442,,Is there a mobile app or is one planned? I need to check on things when I am away from my desk.,feature_request,normal,synthetic,nan mobile app one planned need check thing away desk,10,99,False
SYN-00637,,The dashboard page takes 30 seconds to load after we upgraded plans. It was instant before. Our whole team is affected.,performance,high,synthetic,nan dashboard page take second load upgraded plan instant whole team affected,12,123,False
SYN-00336,,We would love API access to contacts so we can build our own integrations. Is this on the roadmap at all?,feature_request,normal,synthetic,nan would love api access contact build integration roadmap,9,109,False
SYN-00381,,We desperately need the ability to export contacts to JSON. Currently copying everything manually which takes hours.,feature_request,normal,synthetic,nan desperately need ability export contact json currently copying everything manually take hour,13,120,False
SYN-00515,,Lost my authenticator app. Cannot get past 2FA. Have backup codes but they are not being accepted. This is urgent.,account_access,critical,synthetic,nan lost authenticator app not get past 2fa backup code not accepted urgent,13,118,False
SYN-00194,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic,nan number report dashboard wrong not match actual data look like calculation error,13,125,False
SYN-00849,,What is included in the Starter plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included starter plan exactly trying figure need upgrade committing annual,11,121,False
SYN-00306,,"Does Salesforce integration exist? If not, any plans to add it? It would completely change our workflow.",feature_request,normal,synthetic,nan salesforce integration exist not plan add would completely change workflow,11,108,False
SYN-00793,,How do I set up SSO? The documentation is not very clear on this step.,general,normal,synthetic,nan set sso documentation not clear step,7,74,False
SYN-00426,,"Does Slack integration exist? If not, any plans to add it? It would completely change our workflow.",feature_request,normal,synthetic,nan slack integration exist not plan add would completely change workflow,11,103,False
SYN-00668,,The browser tab uses more and more memory over time and eventually crashes. Have to refresh every hour or so.,performance,high,synthetic,nan browser tab us memory time eventually crash refresh every hour,11,113,False
SYN-00791,,Does your platform work with Slack? Evaluating options right now and this is a key requirement.,general,normal,synthetic,nan platform work slack evaluating option right key requirement,9,99,False
SYN-00115,,I was charged twice for my Basic subscription. Two identical charges of $19 appeared on my statement. Please refund one.,billing,high,synthetic,nan charged twice basic subscription two identical charge appeared statement please refund one,13,124,False
SYN-00256,,The app crashes after we upgraded plans when I try to export a report. I am on Windows 11. Error message: 500 Internal Server Error,bug_report,critical,synthetic,nan app crash upgraded plan try export report window error message internal server error,14,135,False
SYN-00838,,Just signed up for Starter and getting started. Is there an onboarding guide or someone we can talk to?,general,normal,synthetic,nan signed starter getting started onboarding guide someone talk,9,107,False
SYN-00513,,Need to move my account to a different email address. Old email is no longer accessible. What is the process?,account_access,normal,synthetic,nan need move account different email address old email no longer accessible process,13,113,False
SYN-00250,,My invoices disappear after saving. I get the green success message but everything is gone when I refresh. This is causing us serious problems.,bug_report,high,synthetic,nan invoice disappear saving get green success message everything gone refresh causing u serious problem,15,147,False
SYN-00159,,The app crashes since the last update when I try to save my changes. I am on Android 14. Error message: 500 Internal Server Error,bug_report,critical,synthetic,nan app crash since last update try save change android error message internal server error,15,133,False
REAL-00053,,How do I contact support for urgent issues?,general,normal,manual_real,nan contact support urgent issue,5,47,False
SYN-00812,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
SYN-00284,,The numbers on the dashboard dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic,nan number dashboard dashboard wrong not match actual data look like calculation error,13,127,False
SYN-00460,,Lost my authenticator app. Cannot get past 2FA. Have backup codes but they are not being accepted. This is urgent.,account_access,critical,synthetic,nan lost authenticator app not get past 2fa backup code not accepted urgent,13,118,False
SYN-00033,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic,nan no idea charge not remember signing anything new explain,10,117,False
SYN-00773,,What is included in the Business plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included business plan exactly trying figure need upgrade committing annual,11,122,False
SYN-00453,,Completely locked out. Have not been able to log in for 5 days. Reset emails are not coming through.,account_access,high,synthetic,nan completely locked not able log day reset email not coming,11,104,False
SYN-00001,,I have no idea what this $49 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic,nan no idea charge not remember signing anything new explain,10,116,False
SYN-00683,,Exports keep timing out. Any projects report with more than 500 rows fails. I need this data urgently.,performance,high,synthetic,nan export keep timing project report row fails need data urgently,11,106,False
SYN-00843,,Does your platform work with QuickBooks? Evaluating options right now and this is a key requirement.,general,normal,synthetic,nan platform work quickbooks evaluating option right key requirement,9,104,False
SYN-00602,,The analytics page takes 10 seconds to load since the last update. It was instant before. Our whole team is affected.,performance,high,synthetic,nan analytics page take second load since last update instant whole team affected,13,121,False
SYN-00700,,The dashboard page takes 20 seconds to load after we upgraded plans. It was instant before. Our whole team is affected.,performance,high,synthetic,nan dashboard page take second load upgraded plan instant whole team affected,12,123,False
SYN-00810,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
SYN-00416,,Any plans for a dark mode? Spending all day in the tool and the bright white interface is really straining my eyes.,feature_request,normal,synthetic,nan plan dark mode spending day tool bright white interface really straining eye,13,119,False
SYN-00435,,We desperately need the ability to export invoices to PDF. Currently copying everything manually which takes hours.,feature_request,normal,synthetic,nan desperately need ability export invoice pdf currently copying everything manually take hour,13,119,False
SYN-00357,,We would love API access to projects so we can build our own integrations. Is this on the roadmap at all?,feature_request,normal,synthetic,nan would love api access project build integration roadmap,9,109,False
SYN-00875,,Quick question about API rate limits — could not find a clear answer in the docs. Can someone point me in the right direction?,general,normal,synthetic,nan quick question api rate limit could not find clear answer doc someone point right direction,16,130,False
SYN-00385,,Is there a mobile app or is one planned? I need to check on things when I am away from my desk.,feature_request,normal,synthetic,nan mobile app one planned need check thing away desk,10,99,False
SYN-00209,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: Authentication failed,bug_report,critical,synthetic,nan api call service returning error past week blocking entire production deployment error authentication failed,15,157,False
SYN-00786,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
REAL-00001,,Locked out and my subscription renews tomorrow,account_access,normal,manual_real,nan locked subscription renews tomorrow,5,50,False
SYN-00397,,Is there a mobile app or is one planned? I need to check on things when I am away from my desk.,feature_request,normal,synthetic,nan mobile app one planned need check thing away desk,10,99,False
SYN-00285,,"Sometimes the filters works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic,nan sometimes filter work fine sometimes fails silently no error message not reproduce consistently happens daily,16,141,False
SYN-00345,,Please add bulk upload a file for invoices. Doing it one at a time for 500+ records is very frustrating.,feature_request,normal,synthetic,nan please add bulk upload file invoice one time record frustrating,11,108,False
SYN-00255,,My transactions disappear after saving. I get the green success message but everything is gone when I refresh. This is a major issue for our team.,bug_report,high,synthetic,nan transaction disappear saving get green success message everything gone refresh major issue team,14,150,False
SYN-00068,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic,nan send pdf invoice last payment company need expense reporting name invoice tech solution inc,15,131,False
SYN-00818,,Does your platform work with Salesforce? Evaluating options right now and this is a key requirement.,general,normal,synthetic,nan platform work salesforce evaluating option right key requirement,9,104,False
SYN-00595,,Lost my authenticator app. Cannot get past 2FA. Have backup codes but they are not being accepted. This is urgent.,account_access,critical,synthetic,nan lost authenticator app not get past 2fa backup code not accepted urgent,13,118,False
SYN-00871,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
SYN-00880,,Quick question about user permissions — could not find a clear answer in the docs. Can someone point me in the right direction?,general,normal,synthetic,nan quick question user permission could not find clear answer doc someone point right direction,15,131,False
SYN-00606,,Search results take 45 seconds to appear after typing. Makes the product nearly impossible to use efficiently.,performance,high,synthetic,nan search result take second appear typing make product nearly impossible use efficiently,13,114,False
SYN-00393,,We desperately need the ability to export transactions to Google Sheets. Currently copying everything manually which takes hours.,feature_request,normal,synthetic,nan desperately need ability export transaction google sheet currently copying everything manually take hour,14,133,False
SYN-00639,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
REAL-00012,,Is there a way to get notified when reports are ready?,feature_request,normal,manual_real,nan way get notified report ready,6,58,False
SYN-00268,,The notifications stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic,nan notification stopped working completely clicking nothing tried different browser issue,11,114,False
SYN-00355,,"Does Salesforce integration exist? If not, any plans to add it? It would completely change our workflow.",feature_request,normal,synthetic,nan salesforce integration exist not plan add would completely change workflow,11,108,False
SYN-00048,,I have no idea what this $299 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic,nan no idea charge not remember signing anything new explain,10,117,False
SYN-00659,,The browser tab uses more and more memory over time and eventually crashes. Have to refresh every hour or so.,performance,high,synthetic,nan browser tab us memory time eventually crash refresh every hour,11,113,False
SYN-00356,,We desperately need the ability to export contacts to PDF. Currently copying everything manually which takes hours.,feature_request,normal,synthetic,nan desperately need ability export contact pdf currently copying everything manually take hour,13,119,False
SYN-00721,,Search results take 10 seconds to appear after typing. Makes the product nearly impossible to use efficiently.,performance,high,synthetic,nan search result take second appear typing make product nearly impossible use efficiently,13,114,False
SYN-00237,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic,nan api call service returning error since last update blocking entire production deployment error internal server error,17,165,False
SYN-00736,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
SYN-00681,,Search results take 10 seconds to appear after typing. Makes the product nearly impossible to use efficiently.,performance,high,synthetic,nan search result take second appear typing make product nearly impossible use efficiently,13,114,False
REAL-00039,,Please allow us to customize the dashboard layout,feature_request,normal,manual_real,nan please allow u customize dashboard layout,7,53,False
SYN-00774,,Quick question about billing cycles — could not find a clear answer in the docs. Can someone point me in the right direction?,general,normal,synthetic,nan quick question billing cycle could not find clear answer doc someone point right direction,15,129,False
SYN-00874,,Just signed up for Business and getting started. Is there an onboarding guide or someone we can talk to?,general,normal,synthetic,nan signed business getting started onboarding guide someone talk,9,108,False
REAL-00027,,Please send me a receipt for my last payment,billing,normal,manual_real,nan please send receipt last payment,6,48,False
REAL-00031,,Getting a 500 error on every page since the update,bug_report,normal,manual_real,nan getting error every page since update,7,54,False
REAL-00052,,Is your platform GDPR compliant?,general,normal,manual_real,nan platform gdpr compliant,4,36,False
SYN-00073,,I cancelled 5 days ago but got billed again. This is the a major issue for our team. I need my $149 back immediately.,billing,high,synthetic,nan cancelled day ago got billed major issue team need back immediately,12,121,False
SYN-00184,,The bulk edit stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic,nan bulk edit stopped working completely clicking nothing tried different browser issue,12,110,False
SYN-00675,,Search results take 10 seconds to appear after typing. Makes the product nearly impossible to use efficiently.,performance,high,synthetic,nan search result take second appear typing make product nearly impossible use efficiently,13,114,False
SYN-00347,,Please add bulk save my changes for contacts. Doing it one at a time for 500+ records is very frustrating.,feature_request,normal,synthetic,nan please add bulk save change contact one time record frustrating,11,110,False
SYN-00402,,"Does Jira integration exist? If not, any plans to add it? It would completely change our workflow.",feature_request,normal,synthetic,nan jira integration exist not plan add would completely change workflow,11,102,False
SYN-00796,,What is included in the Business plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included business plan exactly trying figure need upgrade committing annual,11,122,False
SYN-00390,,We desperately need the ability to export transactions to Excel. Currently copying everything manually which takes hours.,feature_request,normal,synthetic,nan desperately need ability export transaction excel currently copying everything manually take hour,13,125,False
SYN-00067,,I cancelled 3 days ago but got billed again. This is the the third time this month. I need my $299 back immediately.,billing,high,synthetic,nan cancelled day ago got billed third time month need back immediately,12,120,False
REAL-00004,,The upgrade button is broken — clicking it does nothing,billing,normal,manual_real,nan upgrade button broken clicking nothing,6,59,False
SYN-00123,,My card ending in 9012 expired. How do I update payment before the next cycle?,billing,normal,synthetic,nan card ending expired update payment next cycle,8,82,False
SYN-00406,,We would love API access to records so we can build our own integrations. Is this on the roadmap at all?,feature_request,normal,synthetic,nan would love api access record build integration roadmap,9,108,False
SYN-00203,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic,nan number report dashboard wrong not match actual data look like calculation error,13,125,False
SYN-00532,,Lost my authenticator app. Cannot get past 2FA. Have backup codes but they are not being accepted. This is urgent.,account_access,critical,synthetic,nan lost authenticator app not get past 2fa backup code not accepted urgent,13,118,False
SYN-00114,,I downgraded my plan since the last update but I am still being charged the Team rate. This needs to be corrected and backdated.,billing,normal,synthetic,nan downgraded plan since last update still charged team rate need corrected backdated,13,132,False
SYN-00703,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
SYN-00042,,I downgraded my plan starting yesterday but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic,nan downgraded plan starting yesterday still charged pro rate need corrected backdated,12,128,False
SYN-00713,,Exports keep timing out. Any projects report with more than 500 rows fails. I need this data urgently.,performance,high,synthetic,nan export keep timing project report row fails need data urgently,11,106,False
SYN-00839,,What is included in the Enterprise plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included enterprise plan exactly trying figure need upgrade committing annual,11,124,False
SYN-00682,,Search results take 45 seconds to appear after typing. Makes the product nearly impossible to use efficiently.,performance,high,synthetic,nan search result take second appear typing make product nearly impossible use efficiently,13,114,False
SYN-00686,,Exports keep timing out. Any transactions report with more than 5000 rows fails. I need this data urgently.,performance,high,synthetic,nan export keep timing transaction report row fails need data urgently,11,111,False
SYN-00386,,Please add bulk run an analysis for contacts. Doing it one at a time for 500+ records is very frustrating.,feature_request,normal,synthetic,nan please add bulk run analysis contact one time record frustrating,11,110,False
SYN-00352,,We would love API access to contacts so we can build our own integrations. Is this on the roadmap at all?,feature_request,normal,synthetic,nan would love api access contact build integration roadmap,9,109,False
SYN-00157,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic,nan api call service returning error past week blocking entire production deployment error request timeout,15,151,False
SYN-00890,,What is included in the Starter plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included starter plan exactly trying figure need upgrade committing annual,11,121,False
SYN-00373,,Would love email or Slack notifications when a payment fails. I miss things because I cannot monitor the dashboard all day.,feature_request,normal,synthetic,nan would love email slack notification payment fails miss thing not monitor dashboard day,14,127,False
SYN-00404,,We desperately need the ability to export records to Google Sheets. Currently copying everything manually which takes hours.,feature_request,normal,synthetic,nan desperately need ability export record google sheet currently copying everything manually take hour,14,128,False
SYN-00469,,Our SSO login is broken starting yesterday. The whole team cannot access the platform. This is completely blocking us.,account_access,critical,synthetic,nan sso login broken starting yesterday whole team not access platform completely blocking u,14,122,False
SYN-00036,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic,nan send pdf invoice last payment company need expense reporting name invoice tech solution inc,15,131,False
SYN-00566,,Our SSO login is broken since the last update. The whole team cannot access the platform. This is completely blocking us.,account_access,critical,synthetic,nan sso login broken since last update whole team not access platform completely blocking u,15,125,False
REAL-00054,,What is your uptime SLA for enterprise customers?,general,normal,manual_real,nan uptime sla enterprise customer,5,53,False
SYN-00181,,The export stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic,nan export stopped working completely clicking nothing tried different browser issue,11,107,False
SYN-00479,,Lost my authenticator app. Cannot get past 2FA. Have backup codes but they are not being accepted. This is urgent.,account_access,critical,synthetic,nan lost authenticator app not get past 2fa backup code not accepted urgent,13,118,False
SYN-00568,,How do I add a new team member with admin access? We are on the Starter plan and cannot figure out the settings.,account_access,normal,synthetic,nan add new team member admin access starter plan not figure setting,12,116,False
SYN-00445,,Is there a mobile app or is one planned? I need to check on things when I am away from my desk.,feature_request,normal,synthetic,nan mobile app one planned need check thing away desk,10,99,False
SYN-00837,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
SYN-00327,,Please add bulk upload a file for invoices. Doing it one at a time for 500+ records is very frustrating.,feature_request,normal,synthetic,nan please add bulk upload file invoice one time record frustrating,11,108,False
SYN-00752,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
SYN-00409,,We would love API access to reports so we can build our own integrations. Is this on the roadmap at all?,feature_request,normal,synthetic,nan would love api access report build integration roadmap,9,108,False
SYN-00677,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
SYN-00368,,Would love email or Slack notifications when a task gets assigned to me. I miss things because I cannot monitor the dashboard all day.,feature_request,normal,synthetic,nan would love email slack notification task get assigned miss thing not monitor dashboard day,15,138,False
SYN-00049,,I cancelled 5 days ago but got billed again. This is the very frustrating. I need my $149 back immediately.,billing,high,synthetic,nan cancelled day ago got billed frustrating need back immediately,10,111,False
SYN-00408,,Would love email or Slack notifications when a payment fails. I miss things because I cannot monitor the dashboard all day.,feature_request,normal,synthetic,nan would love email slack notification payment fails miss thing not monitor dashboard day,14,127,False
SYN-00792,,What is included in the Basic plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included basic plan exactly trying figure need upgrade committing annual,11,119,False
SYN-00476,,I accidentally created two accounts. Can they be merged? I want to keep all the data from both if possible.,account_access,normal,synthetic,nan accidentally created two account merged want keep data possible,10,111,False
REAL-00042,,I need to transfer ownership of the account to a colleague,account_access,normal,manual_real,nan need transfer ownership account colleague,6,62,False
SYN-00322,,Any plans for a dark mode? Spending all day in the tool and the bright white interface is really straining my eyes.,feature_request,normal,synthetic,nan plan dark mode spending day tool bright white interface really straining eye,13,119,False
SYN-00628,,Exports keep timing out. Any invoices report with more than 500 rows fails. I need this data urgently.,performance,high,synthetic,nan export keep timing invoice report row fails need data urgently,11,106,False
REAL-00011,,The dashboard shows a loading spinner that never goes away,bug_report,normal,manual_real,nan dashboard show loading spinner never go away,8,62,False
SYN-00058,,I cancelled 14 days ago but got billed again. This is the a major issue for our team. I need my $79 back immediately.,billing,high,synthetic,nan cancelled day ago got billed major issue team need back immediately,12,121,False
SYN-00006,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: NovaCo.,billing,normal,synthetic,nan send pdf invoice last payment company need expense reporting name invoice novaco,13,119,False
SYN-00725,,Charts and graphs on the analytics page take forever to render. Sometimes they never load at all.,performance,normal,synthetic,nan chart graph analytics page take forever render sometimes never load,11,101,False
SYN-00586,,How do I add a new team member with billing manager access? We are on the Pro plan and cannot figure out the settings.,account_access,normal,synthetic,nan add new team member billing manager access pro plan not figure setting,13,122,False
SYN-00575,,Need to move my account to a different email address. Old email is no longer accessible. What is the process?,account_access,normal,synthetic,nan need move account different email address old email no longer accessible process,13,113,False
SYN-00025,,I downgraded my plan randomly throughout the day but I am still being charged the Enterprise rate. This needs to be corrected and backdated.,billing,normal,synthetic,nan downgraded plan randomly throughout day still charged enterprise rate need corrected backdated,13,144,False
SYN-00763,,Quick question about API rate limits — could not find a clear answer in the docs. Can someone point me in the right direction?,general,normal,synthetic,nan quick question api rate limit could not find clear answer doc someone point right direction,16,130,False
SYN-00231,,The numbers on the dashboard dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic,nan number dashboard dashboard wrong not match actual data look like calculation error,13,127,False
SYN-00074,,I downgraded my plan since the last update but I am still being charged the Team rate. This needs to be corrected and backdated.,billing,normal,synthetic,nan downgraded plan since last update still charged team rate need corrected backdated,13,132,False
SYN-00565,,How do I add a new team member with editor access? We are on the Basic plan and cannot figure out the settings.,account_access,normal,synthetic,nan add new team member editor access basic plan not figure setting,12,115,False
SYN-00626,,The billing page takes 15 seconds to load randomly throughout the day. It was instant before. Our whole team is affected.,performance,high,synthetic,nan billing page take second load randomly throughout day instant whole team affected,13,125,False
SYN-00200,,My projects disappear after saving. I get the green success message but everything is gone when I refresh. This is absolutely unacceptable.,bug_report,high,synthetic,nan project disappear saving get green success message everything gone refresh absolutely unacceptable,13,143,False
REAL-00017,,How is my usage calculated for billing purposes?,general,normal,manual_real,nan usage calculated billing purpose,5,52,False
SYN-00216,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 5 times now.",bug_report,critical,synthetic,nan not get account password correct reset email never arrives tried time,12,105,False
SYN-00473,,Completely locked out. Have not been able to log in for 7 days. Reset emails are not coming through.,account_access,high,synthetic,nan completely locked not able log day reset email not coming,11,104,False
SYN-00807,,How do I cancel my subscription? I cannot find the option anywhere in the settings.,general,normal,synthetic,nan cancel subscription not find option anywhere setting,8,87,False
SYN-00161,,The filters stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic,nan filter stopped working completely clicking nothing tried different browser issue,11,108,False
REAL-00022,,It was fast yesterday but today nothing loads properly,performance,normal,manual_real,nan fast yesterday today nothing load properly,7,58,False
