ticket_id,subject,body,category,urgency,source
SYN-00154,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00155,,The filters stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00156,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00157,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00158,,"Sometimes the bulk edit works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00159,,The app crashes since the last update when I try to save my changes. I am on Android 14. Error message: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00160,,My reports disappear after saving. I get the green success message but everything is gone when I refresh. This is the third time this month.,bug_report,high,synthetic
SYN-00161,,The filters stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00162,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 30 times now.",bug_report,critical,synthetic
SYN-00163,,The numbers on the settings dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00164,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00165,,The app crashes randomly throughout the day when I try to upload a file. I am on Windows 11. Error message: Request timeout,bug_report,critical,synthetic
SYN-00166,,All API calls to your service are returning 500 errors after we upgraded plans. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00167,,The bulk edit stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00168,,My transactions disappear after saving. I get the green success message but everything is gone when I refresh. This is absolutely unacceptable.,bug_report,high,synthetic
SYN-00169,,My reports disappear after saving. I get the green success message but everything is gone when I refresh. This is very frustrating.,bug_report,high,synthetic
SYN-00170,,The numbers on the dashboard dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00171,,My invoices disappear after saving. I get the green success message but everything is gone when I refresh. This is causing us serious problems.,bug_report,high,synthetic
SYN-00172,,All API calls to your service are returning 500 errors starting yesterday. This is blocking our entire production deployment. Error: Authentication failed,bug_report,critical,synthetic
SYN-00173,,The export stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00174,,"Sometimes the export works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00175,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 3 times now.",bug_report,critical,synthetic
SYN-00176,,The filters stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00177,,My projects disappear after saving. I get the green success message but everything is gone when I refresh. This is very frustrating.,bug_report,high,synthetic
SYN-00178,,My reports disappear after saving. I get the green success message but everything is gone when I refresh. This is absolutely unacceptable.,bug_report,high,synthetic
SYN-00179,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 3 times now.",bug_report,critical,synthetic
SYN-00180,,"Sometimes the notifications works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00181,,The export stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00182,,"Sometimes the notifications works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00183,,My transactions disappear after saving. I get the green success message but everything is gone when I refresh. This is very frustrating.,bug_report,high,synthetic
SYN-00184,,The bulk edit stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00185,,The numbers on the analytics dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00186,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 7 times now.",bug_report,critical,synthetic
SYN-00187,,My contacts disappear after saving. I get the green success message but everything is gone when I refresh. This is the third time this month.,bug_report,high,synthetic
SYN-00188,,My records disappear after saving. I get the green success message but everything is gone when I refresh. This is a major issue for our team.,bug_report,high,synthetic
SYN-00189,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 30 times now.",bug_report,critical,synthetic
SYN-00190,,My contacts disappear after saving. I get the green success message but everything is gone when I refresh. This is absolutely unacceptable.,bug_report,high,synthetic
SYN-00191,,My reports disappear after saving. I get the green success message but everything is gone when I refresh. This is a major issue for our team.,bug_report,high,synthetic
SYN-00192,,My contacts disappear after saving. I get the green success message but everything is gone when I refresh. This is absolutely unacceptable.,bug_report,high,synthetic
SYN-00193,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00194,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00195,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 30 times now.",bug_report,critical,synthetic
SYN-00196,,All API calls to your service are returning 500 errors after we upgraded plans. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00197,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00198,,The app crashes randomly throughout the day when I try to upload a file. I am on Android 14. Error message: Authentication failed,bug_report,critical,synthetic
SYN-00199,,The numbers on the analytics dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00200,,My projects disappear after saving. I get the green success message but everything is gone when I refresh. This is absolutely unacceptable.,bug_report,high,synthetic
SYN-00201,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00202,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00203,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00204,,All API calls to your service are returning 500 errors after we upgraded plans. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00205,,My projects disappear after saving. I get the green success message but everything is gone when I refresh. This is the third time this month.,bug_report,high,synthetic
SYN-00206,,All API calls to your service are returning 500 errors starting yesterday. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00207,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 14 times now.",bug_report,critical,synthetic
SYN-00208,,The numbers on the analytics dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00209,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: Authentication failed,bug_report,critical,synthetic
SYN-00210,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 30 times now.",bug_report,critical,synthetic
SYN-00211,,"Sometimes the bulk edit works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00212,,My transactions disappear after saving. I get the green success message but everything is gone when I refresh. This is very frustrating.,bug_report,high,synthetic
SYN-00213,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 30 times now.",bug_report,critical,synthetic
SYN-00214,,All API calls to your service are returning 500 errors for the past week. This is blocking our entire production deployment. Error: Authentication failed,bug_report,critical,synthetic
SYN-00215,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 14 times now.",bug_report,critical,synthetic
SYN-00216,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 5 times now.",bug_report,critical,synthetic
SYN-00217,,All API calls to your service are returning 500 errors starting yesterday. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00218,,The numbers on the dashboard dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00219,,My invoices disappear after saving. I get the green success message but everything is gone when I refresh. This is a major issue for our team.,bug_report,high,synthetic
SYN-00220,,My contacts disappear after saving. I get the green success message but everything is gone when I refresh. This is very frustrating.,bug_report,high,synthetic
SYN-00221,,The numbers on the reports dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00222,,The export stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00223,,The bulk edit stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00224,,The app crashes since the last update when I try to run an analysis. I am on Windows 11. Error message: Authentication failed,bug_report,critical,synthetic
SYN-00225,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 14 times now.",bug_report,critical,synthetic
SYN-00226,,The numbers on the billing dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00227,,The filters stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00228,,The numbers on the settings dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00229,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 14 times now.",bug_report,critical,synthetic
SYN-00230,,The export stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00231,,The numbers on the dashboard dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
SYN-00232,,"Sometimes the bulk edit works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00233,,"Sometimes the notifications works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00234,,The export stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00235,,"Sometimes the filters works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00236,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00237,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: 500 Internal Server Error,bug_report,critical,synthetic
SYN-00238,,"Cannot get into my account at all. Password is correct, reset email never arrives. Tried 5 times now.",bug_report,critical,synthetic
SYN-00239,,"Sometimes the notifications works fine, sometimes it just fails silently. No error message. Cannot reproduce consistently but it happens daily.",bug_report,high,synthetic
SYN-00240,,The numbers on the billing dashboard are wrong. They do not match our actual data at all. Looks like a calculation error.,bug_report,high,synthetic
